id,curriculo_id,disciplina_id,natureza_disciplina_id,created_at,updated_at
112,3,2208,2,2024-11-12 20:04:11.814435,2024-11-12 20:04:11.814448
113,3,2209,2,2024-11-12 20:04:11.820592,2024-11-12 20:04:11.820604
114,3,2210,2,2024-11-12 20:04:11.825706,2024-11-12 20:04:11.825719
115,3,2211,2,2024-11-12 20:04:11.832413,2024-11-12 20:04:11.832425
116,3,2212,2,2024-11-12 20:04:11.838094,2024-11-12 20:04:11.838104
117,3,2213,2,2024-11-12 20:04:11.844109,2024-11-12 20:04:11.844124
118,3,2233,2,2024-11-12 20:04:11.850129,2024-11-12 20:04:11.850138
119,3,2234,2,2024-11-12 20:04:11.855710,2024-11-12 20:04:11.855721
120,3,2388,2,2024-11-12 20:04:11.861178,2024-11-12 20:04:11.861191
121,3,2389,2,2024-11-12 20:04:11.865976,2024-11-12 20:04:11.865984
122,3,13063,2,2024-11-12 20:04:11.870662,2024-11-12 20:04:11.870670
123,3,13064,2,2024-11-12 20:04:11.874957,2024-11-12 20:04:11.874966
124,3,13065,2,2024-11-12 20:04:11.879450,2024-11-12 20:04:11.879458
125,3,13066,2,2024-11-12 20:04:11.883496,2024-11-12 20:04:11.883503
126,3,2390,2,2024-11-12 20:04:11.887323,2024-11-12 20:04:11.887329
127,3,2391,2,2024-11-12 20:04:11.891423,2024-11-12 20:04:11.891431
128,3,2392,2,2024-11-12 20:04:11.895350,2024-11-12 20:04:11.895356
129,3,2393,2,2024-11-12 20:04:11.899333,2024-11-12 20:04:11.899339
130,3,2394,2,2024-11-12 20:04:11.903059,2024-11-12 20:04:11.903065
131,3,2395,2,2024-11-12 20:04:11.906720,2024-11-12 20:04:11.906726
132,4,2235,1,2024-11-12 20:04:11.910928,2024-11-12 20:04:11.910935
133,4,2236,1,2024-11-12 20:04:11.914629,2024-11-12 20:04:11.914635
134,4,2237,1,2024-11-12 20:04:11.918563,2024-11-12 20:04:11.918569
135,4,2249,1,2024-11-12 20:04:11.922250,2024-11-12 20:04:11.922256
136,4,2250,1,2024-11-12 20:04:11.926101,2024-11-12 20:04:11.926107
137,4,2251,1,2024-11-12 20:04:11.929742,2024-11-12 20:04:11.929748
138,4,2258,1,2024-11-12 20:04:11.933609,2024-11-12 20:04:11.933615
139,4,2291,1,2024-11-12 20:04:11.937227,2024-11-12 20:04:11.937233
140,4,2293,1,2024-11-12 20:04:11.940885,2024-11-12 20:04:11.940891
141,4,2298,1,2024-11-12 20:04:11.944729,2024-11-12 20:04:11.944736
142,4,1722,1,2024-11-12 20:04:11.948396,2024-11-12 20:04:11.948402
143,4,2630,1,2024-11-12 20:04:11.952240,2024-11-12 20:04:11.952246
144,4,2632,1,2024-11-12 20:04:11.955898,2024-11-12 20:04:11.955904
145,4,2612,1,2024-11-12 20:04:11.959572,2024-11-12 20:04:11.959578
146,4,2613,1,2024-11-12 20:04:11.963589,2024-11-12 20:04:11.963596
147,4,2238,1,2024-11-12 20:04:11.968490,2024-11-12 20:04:11.968497
148,4,2239,1,2024-11-12 20:04:11.972897,2024-11-12 20:04:11.972904
149,4,2252,1,2024-11-12 20:04:11.976806,2024-11-12 20:04:11.976812
150,4,2253,1,2024-11-12 20:04:11.980868,2024-11-12 20:04:11.980875
151,4,2254,1,2024-11-12 20:04:11.984660,2024-11-12 20:04:11.984666
152,4,2255,1,2024-11-12 20:04:11.988354,2024-11-12 20:04:11.988361
