id,nome,nome_normalizado,sigla,numero,created_at,updated_at
70,Setor de Ciências Humanas,SETORDECIENCIASHUMANAS,,23,2024-11-12 20:03:28.720117,2024-11-12 20:03:28.720123
71,Departamento de Biologia Celular,DEPARTAMENTODEBIOLOGIACELULAR,,240,2024-11-12 20:03:28.721618,2024-11-12 20:03:28.721625
72,Departamento de Ciência Política e Sociologia,DEPARTAMENTODECIENCIAPOLITICAESOCIOLOGIA,,241,2024-11-12 20:03:28.723382,2024-11-12 20:03:28.723388
73,Departamento de Comunicação Social,DEPARTAMENTODECOMUNICACAOSOCIAL,,242,2024-11-12 20:03:28.724973,2024-11-12 20:03:28.724979
74,Departamento de Filosofia,DEPARTAMENTODEFILOSOFIA,,243,2024-11-12 20:03:28.726669,2024-11-12 20:03:28.726675
75,Setor Litoral,SETORLITORAL,,2458,2024-11-12 20:03:28.728033,2024-11-12 20:03:28.728039
76,Departamento de Bioquímica e Biologia Molecular,DEPARTAMENTODEBIOQUIMICAEBIOLOGIAMOLECULAR,,245,2024-11-12 20:03:28.729649,2024-11-12 20:03:28.729654
77,Coordenação da Câmara Curso de Tecnologia em Agroecologia,COORDENACAODACAMARACURSODETECNOLOGIAEMAGROECOLOGIA,,2460,2024-11-12 20:03:28.731052,2024-11-12 20:03:28.731058
78,Departamento de Botânica,DEPARTAMENTODEBOTANICA,,246,2024-11-12 20:03:28.732596,2024-11-12 20:03:28.732601
79,Departamento de Educação Física,DEPARTAMENTODEEDUCACAOFISICA,,247,2024-11-12 20:03:28.733960,2024-11-12 20:03:28.733966
80,Coordenação Acadêmica,COORDENACAOACADEMICA,,2488,2024-11-12 20:03:28.735461,2024-11-12 20:03:28.735466
81,Coordenação dos Cursos de Graduação,COORDENACAODOSCURSOSDEGRADUACAO,,2489,2024-11-12 20:03:28.736797,2024-11-12 20:03:28.736802
82,Departamento de História,DEPARTAMENTODEHISTORIA,,248,2024-11-12 20:03:28.738295,2024-11-12 20:03:28.738300
83,Curso de Gestão Ambiental,CURSODEGESTAOAMBIENTAL,,2494,2024-11-12 20:03:28.739858,2024-11-12 20:03:28.739864
84,Curso de Gestão Ambiental - Diurno,CURSODEGESTAOAMBIENTALDIURNO,,2495,2024-11-12 20:03:28.741406,2024-11-12 20:03:28.741411
85,Departamento de Farmacologia,DEPARTAMENTODEFARMACOLOGIA,,249,2024-11-12 20:03:28.743160,2024-11-12 20:03:28.743165
86,Setor de Ciências Jurídicas,SETORDECIENCIASJURIDICAS,,24,2024-11-12 20:03:28.744550,2024-11-12 20:03:28.744556
87,Departamento de Fisiologia,DEPARTAMENTODEFISIOLOGIA,,250,2024-11-12 20:03:28.746297,2024-11-12 20:03:28.746302
88,Departamento de Genética,DEPARTAMENTODEGENETICA,,251,2024-11-12 20:03:28.747635,2024-11-12 20:03:28.747641
89,Departamento de Patologia Básica,DEPARTAMENTODEPATOLOGIABASICA,,252,2024-11-12 20:03:28.749276,2024-11-12 20:03:28.749282
90,Departamento de Letras Estrangeiras e Modernas,DEPARTAMENTODELETRASESTRANGEIRASEMODERNAS,,253,2024-11-12 20:03:28.750585,2024-11-12 20:03:28.750591
91,Departamento de Zoologia,DEPARTAMENTODEZOOLOGIA,,254,2024-11-12 20:03:28.752135,2024-11-12 20:03:28.752140
92,Departamento de Psicologia,DEPARTAMENTODEPSICOLOGIA,,255,2024-11-12 20:03:28.753453,2024-11-12 20:03:28.753459
